Km,Vmax,id,activity,X,IR,pot2,ph,temp,dstr,cryst,lgCmin,lgCmax,Cmin,Cmax,lgCconst,Cconst,lgCcat,Ccat,lgvolume,Mcoat,Sufrace,MolWt,PEOE_VSA7,PEOE_VSA9,VSA_EState8,Kappa2,BalabanJ,MinAbsEStateIndex,MinEStateIndex,EState_VSA6,VSA_EState4,PEOE_VSA8,MinPartialCharge,EState_VSA4,SMR_VSA7,Complexity1,TPSA1,TPSA2,TPSA,XLogP,MaxEStateIndex.1,MaxEStateIndex.2,MinPartialCharge.1,MaxPartialCharge.1,BCUT2D_CHGLO,polym,Complexity
0.299,0.000556,1071,1,2.155,1.242,0.5012,4.6,46,2,6,-1.301029996,0.204119983,0.05,1.6,0,1,0,1,3.850493072,10000,1,155.197,12.62077651,13.21376393,6.36162037,4.132684889,1.67E-07,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.376667636,26.17934196,12.77889057,0,40.5,52,32.84,60.8,6,5.99273862,-0.254557431,-0.254557431,-2.048432764,64.4342352,10
0.28,0.000476,1072,1,2.155,1.242,0.5012,5.7,46,2,6,-1.301029996,0.204119983,0.05,1.6,0,1,0,1,3.850493072,10000,1,155.197,12.62077651,13.21376393,6.36162037,4.132684889,1.67E-07,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.376667636,26.17934196,12.77889057,0,40.5,52,32.84,60.8,6,5.99273862,-0.254557431,-0.254557431,-2.048432764,64.4342352,10
0.408,0.000357,1073,1,2.155,1.242,0.5012,6.5,46,2,6,-1.301029996,0.204119983,0.05,1.6,0,1,0,1,3.850493072,10000,1,155.197,12.62077651,13.21376393,6.36162037,4.132684889,1.67E-07,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.376667636,26.17934196,12.77889057,0,40.5,52,32.84,60.8,6,5.99273862,-0.254557431,-0.254557431,-2.048432764,64.4342352,10
0.198,6.78E-05,1074,1,2.28,1.35,0.6,4,35,3,7,-1,0.176091259,0.1,1.5,-1,0.1,-0.710181494,0.285,2.43874007,192.12,0.2,192.123,0,12.84164325,0,3.853986625,4.619312135,1.144212963,-2.738425926,0,-2.738425926,0,-0.481138775,0,0,226,52,40.5,132.13,-1.7,5.99273862,6,-0.39829863,0.037337328,-2.178395123,0.999984385,0
0.38,0.000241,1075,1,2.28,1.35,0.6,4,35,3,7,-1.602059991,-0.124938737,0.025,0.75,0.176091259,1.5,-0.789769496,0.305,2.43874007,192.12,0.2,192.123,0,12.84164325,0,3.853986625,4.619312135,1.144212963,-2.738425926,0,-2.738425926,0,-0.481138775,0,0,0,40.5,52,132.13,-1.7,6,5.99273862,-0.254557431,-0.254557431,-2.178395123,0.999984385,0
0.1098,5.82E-05,1076,1,2.2,0.73,0.83,4.5,25,2,6,-1.301029996,-0.15490196,0.05,0.7,1,10,2.301029996,200,3.860819956,30000,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,226,52,40.5,20.31,0.4,5.99273862,6,-0.39829863,0.037337328,-2.048432761,269.9201036,0
4.398,6.51E-05,1077,1,2.2,0.73,0.83,4.5,25,2,6,-0.301029996,1,0.5,10,-0.301029996,0.5,2.301029996,200,3.860819956,30000,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,0,40.5,52,20.31,0.4,6,5.99273862,-0.254557431,-0.254557431,-2.048432761,269.9201036,0
0.0865,6.23E-05,1078,1,2.5066,0.9788,1.2,4.5,25,2,6,-1.301029996,-0.15490196,0.05,0.7,1,10,2.301029996,200,3.860819956,30000,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,226,52,40.5,20.31,0.4,5.99273862,6,-0.39829863,0.037337328,-2.048432761,269.9201036,0
2.231,5.00E-05,1079,1,2.511,0.981,1.2,4.5,25,2,6,-0.301029996,1,0.5,10,-0.301029996,0.5,2.301029996,200,3.860819956,30000,0.2,111.144,12.62077651,0,4.36162037,1.987228406,2.536681979,0.208333333,0.208333333,11.09986462,0,12.96557803,-0.319671229,12.96557803,12.77889057,0,40.5,52,20.31,0.4,6,5.99273862,-0.254557431,-0.254557431,-2.048432761,269.9201036,0
0.0022,1.75E-05,1080,1,2.771,1.299,0.5802,4,40,1,7,-3,-1.045757491,0.001,0.09,1.397940009,25,-0.522878745,0.3,5.079181246,360.31,1,360.312,0,0,0,257.9879062,-5.33E-09,0,-1.416666667,0,0,0,-2,0,0,226,52,40.5,253.56,141,5.99273862,6,-0.39829863,0.037337328,0,0.999994449,18
20.492,0.0003423,1081,1,2.771,1.299,0.0272,4,40,1,7,1.301029996,1.903089987,20,80,0,1,-0.522878745,0.3,5.079181246,360.31,1,360.312,0,0,0,257.9879062,-5.33E-09,0,-1.416666667,0,0,0,-2,0,0,0,40.5,52,253.56,141,6,5.99273862,-0.254557431,-0.254557431,0,0.999994449,18
0.14,0.000413,1082,1,2.2744,1.3496,0.6936,4,40,3,7,-1,0,0.1,1,2,100,-1.301029996,0.05,8.096910013,180.16,0.2,180.156,0,6.606881965,-0.525787037,3.648916103,2.634408987,0.525787037,-1.568935185,0,0,0,-0.393566516,0,0,226,52,40.5,110.38,-1.628724034,5.99273862,6,-0.39829863,0.037337328,-2.368817634,1.000022203,0
7.09,0.000433,1083,1,2.4156,1.293,-0.2212,4,40,3,7,1,2.176091259,10,150,-0.096910013,0.8,-1.301029996,0.05,8.096910013,180.16,0.2,180.156,0,6.606881965,-0.525787037,3.648916103,2.634408987,0.525787037,-1.568935185,0,0,0,-0.393566516,0,0,0,40.5,52,110.38,-1.628768051,6,5.99273862,-0.254557431,-0.254557431,-2.368817634,1.000022203,0
12.36,0.0001062,1084,1,2.7268,1.1422,0.1037,3,25,3,6.4,-0.698970004,-0.096910013,0.2,0.8,0.903089987,8,-1.397940009,0.04,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328,0,0,0
11.61,8.15E-05,1085,1,2.882,1.111,0.0673,3,25,3,7,-0.096910013,0.187097501,0.8,1.5385,0.903089987,8,-1.397940009,0.04,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431,0,0,0
0.173,0.000172,1086,1,2.75,1.32,0.2288,4,45,3,7,-3,-0.096910013,0.001,0.8,3,1000,-1.698970004,0.02,4.193820026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,52,40.5,0,0,5.99273862,6,-0.39829863,0.037337328,0,0,0
185,0.282,1087,1,2.75,1.32,0.2297,4,45,3,7,0.698970004,3,5,1000,-0.096910013,0.8,-1.698970004,0.02,4.193820026,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.5,52,0,0,6,5.99273862,-0.254557431,-0.254557431,0,0,0
0.187,0.000591,1088,1,2.75,1.32,0.122,4,45,3,7,-3,0,0.001,1,3,1000,-1.698970004,0.02,4.341474094,2000,1,326.521,32.10410811,13.21376393,4.25882859,19.21723666,1.43E-06,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,26.05540717,12.15204021,226,52,40.5,49.83,50.5071869,5.99273862,6,-0.39829863,0.037337328,-1.987595201,6.12518031,10
30,0.58,1089,1,2.75,1.32,0.5322,4,45,3,7,1,3,10,1000,-0.096910013,0.8,-1.698970004,0.02,4.341474094,2000,1,326.521,32.10410811,13.21376393,4.25882859,19.21723666,1.43E-06,0.331506779,-0.664233856,0,0,6.420821623,-0.48123039,26.05540717,12.15204021,0,40.5,52,49.83,50.5073451,6,5.99273862,-0.254557431,-0.254557431,-1.987595201,6.12518031,10
0.185,0.000519,1090,1,2.75,1.32,0.197,4,45,3,7,-3,0,0.001,1,3,1000,-1.698970004,0.02,4.341474094,2000,1,853.364,44.94575136,19.82064589,7.903759696,53.20657857,0,0.049447204,-0.664233856,7.109797541,0,26.37226241,-0.48123039,38.52492974,12.15204021,226,52,40.5,108.36,89.10449956,5.99273862,6,-0.39829863,0.037337328,-2.180447337,2.343665775,539
39,0.529,1091,1,2.75,1.32,0.5746,4,45,3,7,1,3,10,1000,-0.096910013,0.8,-1.698970004,0.02,4.341474094,2000,1,853.364,44.94575136,19.82064589,7.903759696,53.20657857,0,0.049447204,-0.664233856,7.109797541,0,26.37226241,-0.48123039,38.52492974,12.15204021,0,40.5,52,108.36,89.10449956,6,5.99273862,-0.254557431,-0.254557431,-2.180447337,2.343665775,539
